
VBA	{000204EF-0000-0000-C000-000000000046}	4	0	%CommonProgramFiles(x86)%\Microsoft Shared\VBA\VBA6\VBE6.DLL
Excel	{00020813-0000-0000-C000-000000000046}	1	4	%ProgramFiles%\Microsoft Office\Office10\EXCEL.EXE
stdole	{00020430-0000-0000-C000-000000000046}	2	0	%SystemRoot%\SysWOW64\stdole2.tlb
Office	{2DF8D04C-5BFA-101B-BDE5-00AA0044DE52}	2	2	%CommonProgramFiles(x86)%\Microsoft Shared\Office10\MSO.DLL
VBIDE	{0002E157-0000-0000-C000-000000000046}	5	3	%CommonProgramFiles(x86)%\Microsoft Shared\VBA\VBA6\VBE6EXT.OLB
Rubberduck	{E07C841C-43F0-3B33-B105-9B8188A6F040}	2	5	%ProgramFiles%\Rubberduck\Rubberduck.x32.tlb
ADODB	{B691E011-1797-432E-907A-4D8C69339129}	6	1	%CommonProgramFiles(x86)%\System\ado\msado15.dll
ADOR	{00000300-0000-0010-8000-00AA006D2EA4}	6	0	%CommonProgramFiles(x86)%\System\ado\msador15.dll
ADOX	{00000600-0000-0010-8000-00AA006D2EA4}	6	0	%CommonProgramFiles(x86)%\System\ado\msadox.dll
MSForms	{0D452EE1-E08F-101A-852E-02608C4D0BB4}	2	0	%SystemRoot%\SysWow64\FM20.DLL
Scripting	{420B2830-E718-11CF-893D-00A0C9054228}	1	0	%SystemRoot%\SysWOW64\scrrun.dll
IWshRuntimeLibrary	{F935DC20-1CF0-11D0-ADB9-00C04FD58A0B}	1	0	%SystemRoot%\SysWOW64\wshom.ocx
